序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、1950年世界上人口最多的城市是	2、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	3、哥伦比亚大学位于哪个城市	4、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	5、哈佛大学位于哪个城市	6、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	7、右图是哪个美国漫画中的超级英雄的标志	8、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	9、右图是哪个美国漫画中的超级英雄的标志	10、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	11、福尔摩斯的助手叫什么	12、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	13、蝙蝠侠的助手叫什么	14、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	15、右图是哪个国家的国旗	"16、你认为其他人可能回答的答案是（如果有多个请用逗号隔开）"	17、澳大利亚的首都是哪个城市	18、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	19、著名音乐家肖邦是哪国人	20、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	21、1984年夏季奥运会在哪个城市举办	22、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	23、世界七大奇迹之一的亚历山大灯塔位于哪个国家	24、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）	25、世界七大奇迹之一的空中花园位于哪个国家	26、你认为其他人对上题的答案可能是（如有多个请用逗号隔开）
268	N/A	N/A	N/A	N/A	N/A	China	China	NewYork	Columbia	Boston	Boston	不知道	不知道	CaptainAmerica	CaptainAmerica	不知道	不知道	不知道	不知道	约旦	不知道	Melbourne	Melbourne	Poland	Germany	LosAngeles	LosAngeles	US	US	不知道	奥地利
269	N/A	N/A	N/A	N/A	N/A	墨西哥城	墨西哥城,Tokyo,London,NewYork	NewYork	NewYork,Washington	Boston	NewYork,Washington,加州	不知道	Hulk	CaptainAmerica	CaptainAmerica	waston	waston	尼玛	尼玛	不知道	不知道	Melbourne	Melbourne	Germany	Germany	不知道	LosAngeles	亚历山大城	亚历山大城	Babylon	Babylon
270	N/A	N/A	N/A	N/A	N/A	Bombay	China,Peking,Shanghai,NewYork	Columbia	不知道	NewYork	不知道	GreenLantern	Arrow	CaptainAmerica	Ironman	Watson	花生	Robin	汤姆	不知道	不知道	Canberra	Sydney	Germany	俄国	LosAngeles	不知道	不知道	不知道	Greece	玛雅
271	N/A	N/A	N/A	N/A	N/A	NewYork	不知道	Washington	不知道	Harvard	Harvard	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	Latvia	Latvia,Austria	Canberra	Canberra,Sydney,Melbourne	Poland	Poland	LosAngeles	LosAngeles	Egypt	不知道	Babylon	中国
272	N/A	N/A	N/A	N/A	N/A	London	NewYork	芝加哥	Columbia	NewYork	Washington	不知道	蝙蝠侠？	CaptainAmerica	CaptainAmerica	Watson	Watson	Alfred	Alfred	丹麦	哥斯达黎加	Canberra	Sydney	Germany	Germany,Poland	不知道	不知道	美国？	古巴？	Iraq	Iran
273	N/A	N/A	N/A	N/A	N/A	不知道	Peking	Columbia	Columbia	Boston	Boston	不知道	不知道	CaptainAmerica	超人	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	不知道	Poland	Poland	Athens	Athens	不知道	不知道	Babylon	Babylon
274	N/A	N/A	N/A	N/A	N/A	London	NewYork	NewYork	NewYork	Cambridge	NewYork,Washington	不知道	不知道	CaptainAmerica	不知道	不知道	不知道	Robin	Robin,Alfred	不知道	瑞典	Canberra	Melbourne,Sydney	不知道	Austria	LosAngeles	US,LosAngeles,不知道	不知道	Alexandria	Babylon	Babylon,埃及,希腊
275	N/A	N/A	N/A	N/A	N/A	NewYork	NewYork,Tokyo	NewYork	Columbia,NewYork	Cambridge	NewYork	不知道	不知道	CaptainAmerica	CaptainAmerica,不知道	Watson	Watson,李元芳	Robin	Alfred	不知道	不知道	Canberra	Canberra,Sydney	Poland	Poland,France	Tokyo	莫斯科	没听说过	不知道	Babylon	Babylon
276	N/A	N/A	N/A	N/A	N/A	Shanghai	Peking,Bombay	NewYork	Washington,Columbia	Harvard	Peking	不知道	奥特曼	CaptainAmerica	无	Watson	柯南,工藤新一	不知道	不知道	波兰	不知道	Sydney	Melbourne	Germany	France,意大利	London	Peking	意大利	Greece,Egypt	Iraq	Iraq,Babylon
277	N/A	N/A	N/A	N/A	N/A	NewYork	London	Washington	Peking	Boston	Boston,NewYork,Washington,	漫威	漫威	Marvel	Marvel	卷福	卷腹	Robin	汤姆	哥伦比亚	US	Canberra	Sydney	Germany	中国	LosAngeles	Tokyo	Greece	中国	哥伦比亚	埃及
278	N/A	N/A	N/A	N/A	N/A	London	London,NewYork,巴黎,Peking	NewYork	Columbia	Harvard	Harvard	DC	漫威	CaptainAmerica	CaptainAmerica	Watson	亚瑟,Watson	Alfred	不知道	Austria	Austria	Canberra	Sydney	Poland	Germany	LosAngeles	LosAngeles	Egypt	Egypt	Babylon	埃及
279	N/A	N/A	N/A	N/A	N/A	China	China	Columbia	Columbia	US	US,US	DC	DC	Marvel	Marvel	Watson	Watson	Robin	Robin	波兰	波兰	Canberra	Canberra	Poland	Poland	LosAngeles	盐城湖,LosAngeles	US	US	Iraq	Iran
280	N/A	N/A	N/A	N/A	N/A	新德里	NewYork,London,Peking	英国	US	NewYork	NewYork	GreenLantern	GreenLantern	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	卡塔尔,不丹	Canberra	Canberra,Sydney	Austria	Austria,UK	Athens	Athens	UK	UK,US	智利	智利
281	N/A	N/A	N/A	N/A	N/A	London	London	Columbia	Columbia	Cambridge	Washington,Boston,Cambridge	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	蜘蛛侠	小蝙蝠	不知道	不知道	雪梨	雪梨	Germany	Austria,Germany,UK	不知道	不知道	US	US,France,Egypt	Babylon	Babylon
282	N/A	N/A	N/A	N/A	N/A	不知道	不知道,Peking,新德里	NewYork	NewYork,Columbia	NewYork	伦敦	GreenLantern	GreenLantern,闪电侠	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	Latvia	Latvia,Austria	Canberra	Canberra,Sydney,Melbourne	Poland	Poland,Germany,Austria	不知道	不知道	不知道	不知道	Iraq	Babylon,不知道
283	N/A	N/A	N/A	N/A	N/A	Peking	洛杉矶	不知道	不知道	洛杉矶	洛杉矶,NewYork	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	花生	不知道	不知道	不知道	不知道	不知道	不知道	UK	France	不知道	不知道	UK	France	泰国	印度
284	N/A	N/A	N/A	N/A	N/A	Bombay	Peking,Bombay	NewYork	NewYork	Boston	Boston	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	缅甸	越南,缅甸,瑞士,瑞典	Canberra	Canberra	Poland	Poland,Germany	NewYork	Tokyo	不知道	不知道	Babylon	Babylon
285	N/A	N/A	N/A	N/A	N/A	London	London,NewYork,巴黎,Peking	NewYork	Columbia	Boston	Boston	DC	漫威	CaptainAmerica	CaptainAmerica	Watson	亚瑟	不知道	不知道	Austria	Austria	Canberra	Canberra	Poland	Germany	Tokyo	巴黎	Egypt	Egypt	不知道	不知道
286	N/A	N/A	N/A	N/A	N/A	NewYork	Peking,新德里,墨西哥城	NewYork	NewYork,Columbia	Boston	Boston,NewYork,Washington	Hulk	Hulk	CaptainAmerica	CaptainAmerica	Watson	花生	不知道	不知道	Austria	爱沙尼亚	Canberra	Sydney	France	Germany	LosAngeles	LosAngeles	智利	US	Babylon	Babylon
287	N/A	N/A	N/A	N/A	N/A	Tokyo	Peking,Shanghai,London,NewYork	NewYork	NewYork	Cambridge	不知道	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	Latvia	Latvia	Canberra	Canberra,Sydney,Melbourne	Poland	Poland	不知道	不知道	古埃及	古埃及	Babylon	Babylon,Iraq,Iran
288	N/A	N/A	N/A	N/A	N/A	不知道	不知道	New,York,City	不知道	Boston	Boston	不知道	不知道	CaptainAmerica	不知道	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Sydney	Germany	Austria,不知道	德国	意大利	不知道	不知道	Babylon	Babylon,荷兰
289	N/A	N/A	N/A	N/A	N/A	Tokyo	NewYork	多伦多	Columbia	Boston	Boston	蜘蛛侠	蜘蛛侠	CaptainAmerica	蜘蛛侠	Watson	Watson	不知道	不知道	海地	乌拉圭	Canberra	Sydney	Poland	Germany	LosAngeles	Atlanta,LosAngeles	Greece	芬兰	Babylon	不知道
290	N/A	N/A	N/A	N/A	N/A	Shanghai	Shanghai,NewYork,London,Tokyo	不知道	NewYork,哥伦比亚城,波士顿	不知道	不知道	不知道	不知道	不知道	不知道	Watson	Watson	戈登	不知道,但不是戈登	不知道	瑞士	Canberra	Canberra	Poland	Poland,乌克兰,Austria	不知道	不知道	不知道	不知道	Greece	希腊
291	N/A	N/A	N/A	N/A	N/A	不知道	不知道	不知道	NewYork	NewYork	不知道	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson,不知道	不知道	不知道	不知道	不知道	不知道	Sydney,Melbourne	不知道	不知道	不知道	不知道	不知道	不知道	Babylon	不知道
292	N/A	N/A	N/A	N/A	N/A	NewYork	不知道	NewYork	Columbia,NewYork	Boston	NewYork	Hulk	Hulk	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Canberra,Sydney	Poland	Poland,France,UK	LosAngeles	LosAngeles	UK	不知道	什么是世界七大奇迹？	Babylon
293	N/A	N/A	N/A	N/A	N/A	Tokyo	圣保罗,Peking,NewYork,Tokyo	NewYork	Columbia	Cambridge	Cambridge,NewYork	不知道	超人,黑寡妇,Vision	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	罗宾逊	Latvia	挪威,Latvia	Canberra	Canberra,Sydney	Poland	Poland,US,Germany	不知道	不知道	Egypt	Egypt	Babylon	波斯
294	N/A	N/A	N/A	N/A	N/A	NewYork	NewYork,London	NewYork	NewYork,洛杉矶,Columbia	Boston	Boston	不知道	不知道	不知道	不知道	Watson	Watson,盲生	不知道	不知道	不知道	不知道	Canberra	Canberra,Sydney	Poland	Poland,Germany	不知道	不知道	Egypt	Egypt	雅典	不知道
295	N/A	N/A	N/A	N/A	N/A	Peking	正确	洛杉矶	洛杉矶	马萨诸塞	Boston,NewYork,马萨诸塞	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Canberra,Sydney	Poland	Poland	Athens	Athens,不知道了...	Egypt	Egypt,不知道	Babylon	以色列
296	N/A	N/A	N/A	N/A	N/A	洛杉矶	London,NewYork,芝加哥,洛杉矶	NewYork	Columbia,Washington,NewYork	Harvard	Harvard	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Canberra,Sydney	Poland	Poland,荷兰,的锅	不知道	LosAngeles	不知道	不知道	Iraq	Babylon
297	N/A	N/A	N/A	N/A	N/A	Peking	Peking	Columbia	Columbia	NewYork	不知道,但不是纽约	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	不知道	不知道	不知道	日本	不知道,但不是日本	不知道	不知道	Iraq	Athens
298	N/A	N/A	N/A	N/A	N/A	不知道	不知道	Columbia	不知道,但不是哥伦比亚	Boston	NewYork	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	Robin	Robin	不知道	不知道	Melbourne	Melbourne	Germany	不知道,但不是德国	LosAngeles	巴塞罗那	什么是世界七大奇迹？	不知道,但我怀疑不止我不知道	Iraq	Iran
299	N/A	N/A	N/A	N/A	N/A	NewYork	Tokyo,墨西哥城	不知	波哥大	Boston	Boston	不知道	美国队长	CaptainAmerica	无	Watson	柯南道尔	不知道	不知道	瑞士	不知道	Canberra	Melbourne,Sydney	Poland	Germany	不知道	Athens,不知道	俄罗斯	俄罗斯,意大利	Babylon	不知道
300	N/A	N/A	N/A	N/A	N/A	圣保罗	不知道	温哥华	Columbia	Boston	哈福	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	Alfred	Alfred,Robin	不知道	不知道	Canberra	Canberra,Sydney	不知道	France,Austria,维也纳,不知道	LosAngeles	汉城	不知道	不知道	Babylon	不知道
301	N/A	N/A	N/A	N/A	N/A	NewYork	洛杉矶	Columbia	不知道	NewYork	Harvard	GreenLantern	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	丹麦	Canberra	Sydney	Germany	Poland	LosAngeles	LosAngeles	Egypt	Greece	巴格达	巴格达,德里
302	N/A	N/A	N/A	N/A	N/A	不知道	不知道	NewYork	Columbia	费城	NewYork	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	丹麦	丹麦	Canberra	Canberra	Poland	Austria	Atlanta	汉城,LosAngeles	Egypt	不知道	Babylon	Babylon
303	N/A	N/A	N/A	N/A	N/A	Peking	NewYork	洛杉矶	Columbia,NewYork	Cambridge	Boston	Batman	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	开曼群岛	Canberra	Melbourne,Sydney	Poland	Austria,Germany,France	LosAngeles	LosAngeles	不知道	US,UK	不知道	不知道
304	N/A	N/A	N/A	N/A	N/A	Shanghai	NewYork	NewYork	NewYork	NewYork	洛杉矶	Batman	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	智利	不知道	Canberra	Canberra	Poland	Poland	不知道	不知道	Egypt	Egypt	不知道	不知道
305	N/A	N/A	N/A	N/A	N/A	London	NewYork	NewYork	Washington	Boston	不知道	不知道	不知道	CaptainAmerica	美国超人	Watson	柯南	不知道	不知道	不知道	丹麦	Canberra	Sydney	Germany	日本	不知道	不知道	罗马	Egypt	不知道	不知道
306	N/A	N/A	N/A	N/A	N/A	China	China	NewYork	Columbia	Boston	NewYork,Washington,Boston	GreenLantern	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Sydney	Poland	Germany	Atlanta	Atlanta,Tokyo,莫斯科	不知道	不知道	不知道	不知道
307	N/A	N/A	N/A	N/A	N/A	London	London,NewYork	NewYork	NewYork,Columbia	Harvard	Harvard	不知道	不知道	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	不知道	Canberra	Sydney,Melbourne	Germany	Germany,France	不知道	不知道	Alexandria	Alexandria,孟菲斯,开罗	不知道	不知道
308	N/A	N/A	N/A	N/A	N/A	不知道	不知道,Peking	Columbia	Columbia	不知道	不知道	GreenLantern	GreenLantern	CaptainAmerica	CaptainAmerica	Watson	Watson	不知道	不知道	不知道	瑞典,瑞士	Sydney	Sydney	Germany	Germany,UK,US	不知道	不知道	不知道	不知道	不知道	不知道
